student_id,19/20_1,19/20_2,20/21_1,20/21_2,21/22_1,21/22_2,22/23_1,22/23_2,23/24_1,23/24_2,24/25_1,24/25_2
63190001,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63254', '63267', '63266', '63214']","['63265', '63251']",['63266'],['63265'],,,"['63541', '63507', '63528']","['63508', '63552', '63509', '63510', '63546I']"
63190002,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63249', '63226', '63214']",['63252'],,,,,"['63519', '63507']","['63508', '63510']"
63190003,"['63204', '63277']","['63212', '63278']",['63277'],['63278'],"['63283', '63279', '63208']","['63209', '63220', '63280']","['63267', '63214', '63266', '63254']",['63251'],,,"['63514', '63507']","['63508', '63510', '63557']"
63190004,"['63204', '63277']","['63212', '63278']",['63279'],['63280'],,"['63209', '63280', '63220']","['63267', '63214', '63266']","['63263', '63251']",,,,
63190005,"['63204', '63277']","['63212', '63278']",,,,,,,,,,
63190007,"['63204', '63277']","['63212', '63278']",,['63278'],"['63283', '63279', '63208']","['63209', '63220', '63280']","['63267', '63214', '63266']","['63268', '63263', '63251']",,,,
63190008,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63266', '63267', '63214']","['63271', '63287', '63251']",,,"['63528', '63506', '63554', '63521', '63506A', '63514']","['63552', '63530', '63555', '63511']","['63554', '63519', '63520', '63521']","['63545B', '63561', '63510']"
63190009,"['63204', '63277']","['63212', '63278']",,,"['63203', '63205', '63202', '63204', '63277']","['63212', '63209', '63207', '63215', '63278']","['63283', '63737', '63213', '63218', '63208', '63279']","['63216', '63217', '63220', '63278', '63280']","['63270', '63214', '63255', '63257', '63269']","['63287', '63271', '63256', '63281']",,['63281']
63190010,"['63204', '63277']","['63212', '63278']","['63279', '63208']","['63280', '63220']","['63279', '63283']",['63209'],"['63269', '63267', '63214', '63266']",['63251'],,,,
63190011,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63267', '63266', '63214']",['63251'],['63255'],['63265'],,,,
63190012,"['63204', '63277']","['63212', '63278']","['63204', '63202', '63205', '63277', '63203']","['63209', '63215', '63278', '63207', '63212']","['63203', '63202', '63277']","['63209', '63215', '63278']",,,,,,
63190015,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63269', '63267', '63266', '63214']",['63251'],,,,['63553'],,
63190016,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63266', '63267', '63214']","['63271', '63287', '63251']",,['63251'],,,,
63190017,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63266', '63214', '63267']",['63251'],,,,,,
63190018,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63267', '63266', '63214']",['63251'],,,,,,
63190019,"['63204', '63277']","['63212', '63278']",,,"['63283', '63279', '63208']","['63209', '63220', '63280']","['63248', '63267', '63214', '63266']","['63268', '63251']","['63564', '63506A', '63554', '63565', '63514']","['63552', '63566', '63555', '63567']","['63563', '63541']","['63561', '63510', '63560']"
63190020,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63254', '63264', '63214']","['63263', '63265']",,,,,,
63190021,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63266', '63214', '63267']","['63259', '63268', '63251']",,,"['63564', '63506A', '63554', '63565', '63514']","['63552', '63566', '63555', '63567']","['63563', '63564']","['63545B', '63543', '63561', '63567']"
63190022,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63261', '63254', '63264', '63214']","['63263', '63265']",,,,,,
63190023,"['63204', '63277']","['63212', '63278']",['63208'],,"['63279', '63283']","['63220', '63209', '63280']","['63267', '63214', '63266']","['63287', '63251']",,,,
63190024,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63266', '63267', '63214']",['63251'],,,,,,
63190025,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63267', '63266', '63214']","['63251', '63263']",['63267'],,,,"['63507', '63506', '63523', '63541', '63550', '63506A', '63512']","['63509', '63508', '63543', '63557']"
63190026,"['63204', '63277']","['63212', '63278']","['63202', '63205', '63277', '63204', '63203']","['63209', '63215', '63207', '63278', '63212']","['63279', '63283', '63218', '63213', '63208']","['63217', '63219', '63220', '63280', '63216']","['63264', '63267', '63260', '63214', '63254']","['63281', '63256', '63263', '63265', '63258']","['63528', '63506', '63554', '63521', '63550', '63506A', '63514']","['63552', '63530', '63555', '63511']","['63541', '63519', '63554', '63520']","['63545B', '63522', '63510']"
63190027,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63267', '63266', '63214']","['63259', '63268', '63251']",,,"['63564', '63506A', '63554', '63565', '63514']","['63552', '63566', '63555', '63567']","['63563', '63542', '63520']","['63561', '63560']"
63190028,"['63204', '63277']","['63212', '63278']",,,,,,,,,,
63190029,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63267', '63266', '63214']",['63251'],,,,,,
63190030,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63267', '63266', '63214']",['63251'],"['63507', '63520']","['63508', '63552']",,,,
63190031,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63226', '63249', '63214']",['63252'],['63226'],,,,,
63190032,"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63220', '63209', '63280']","['63208', '63213', '63279', '63205', '63218']","['63209', '63219', '63221', '63215', '63217', '63216']","['63269', '63267', '63214', '63255', '63266']","['63281', '63221', '63256', '63271', '63268', '63251']","['63266', '63269']","['63251', '63221', '63281']",,
63190033,"['63204', '63277']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63269', '63270', '63214']","['63287', '63251']",,,,,,
63190034,"['63204', '63277']","['63212', '63278']",,,,,,,,,,
63190035,"['63204', '63277']","['63212', '63278']",,,,,"['63705', '63704', '63702', '63703', '63701']","['63710', '63709', '63707', '63706', '63708']","['63749B', '63720', '63711', '63714', '63716']","['63723', '63709', '63725', '63727', '63765', '63774']","['63736', '63732', '63742', '63741', '63780']","['63723', '63770']"
63190036,"['63204', '63277']","['63212', '63278']",,,,,,,,,,
63190037,"['63277', '63204']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63267', '63266', '63214']","['63268', '63251']",,,,,,
63190039,"['63277', '63204']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']","['63267', '63266', '63214']",['63251'],,,,,,
63190041,"['63277', '63204']","['63212', '63278']","['63283', '63279', '63208']","['63220', '63209', '63280']",['63214'],,"['63267', '63266']",['63251'],,,,
63190042,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']","['63711', '63712', '63714', '63716', '63717']","['63725', '63727', '63721', '63723']","['63715', '63749B', '63732', '63768', '63718', '63713']",['63770'],"['63507', '63541', '63506', '63550', '63512']","['63557', '63509', '63508', '63543', '63515']","['63558', '63527', '63523']","['63553', '63511', '63551']",,
63190043,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']","['63711', '63714', '63716', '63715', '63744']","['63725', '63727', '63721', '63723', '63726']","['63712', '63749B', '63732', '63768', '63720', '63713']",['63770'],,['63770'],,,,
63190044,"['63704', '63702', '63703', '63701', '63705']","['63708', '63710', '63707', '63706', '63709']","['63711', '63712', '63714', '63716', '63720']","['63725', '63727', '63721', '63723', '63724']","['63248', '63742', '63732', '63768', '63735', '63713']",['63770'],,['63770'],,,,
63190045,"['63203', '63277', '63205', '63204', '63202']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']","['63267', '63266', '63214', '63261']","['63281', '63268', '63262', '63265', '63256', '63251']","['63514', '63541', '63554', '63506', '63512']","['63509', '63552', '63543', '63561', '63555']","['63507', '63550', '63520']","['63508', '63557', '63546J']",,
63190046,"['63203', '63205', '63204', '63277', '63202']","['63212', '63209', '63207', '63215', '63278']","['63203', '63204', '63202']","['63212', '63207']","['63283', '63737', '63279', '63218', '63213', '63208']","['63280', '63220', '63216', '63217']","['63283', '63279', '63218']","['63220', '63280', '63216']",['63283'],['63216'],"['63261', '63257', '63269', '63255', '63214']","['63259', '63258', '63253', '63256', '63281']"
63190047,"['63704', '63701', '63705', '63702', '63703']","['63708', '63710', '63707', '63706', '63709']",['63704'],"['63710', '63706', '63709', '63707']","['63712', '63714', '63716', '63720', '63711']","['63725', '63727', '63721', '63723', '63710', '63724']","['63742', '63768', '63735', '63732', '63711', '63713', '63736']",['63770'],,,,
63190048,"['63701', '63705', '63703', '63704', '63702']","['63708', '63710', '63707', '63706', '63709']","['63711', '63712', '63713', '63714', '63716', '63744']","['63727', '63721', '63723', '63722']","['63732', '63719', '63735', '63718', '63717', '63736']",['63770'],,['63770'],"['63506', '63554', '63507', '63550', '63506A', '63514', '63527']","['63508', '63557', '63552', '63555']","['63528', '63506', '63521', '63541', '63520']","['63511', '63530']"
63190050,"['63203', '63277', '63205', '63202', '63204']","['63212', '63209', '63207', '63215', '63278']","['63213', '63204', '63283']","['63278', '63207', '63217', '63220']","['63218', '63208']","['63216', '63280', '63278']","['63249', '63270', '63269', '63214', '63254']","['63281', '63287', '63250', '63271', '63256']","['63521', '63527']","['63551', '63515']","['63523', '63541', '63550']",
63190051,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']","['63711', '63749B', '63714', '63716', '63717']","['63725', '63727', '63723', '63724']","['63715', '63768', '63732', '63720', '63712']",['63770'],,['63770'],,,,
63190052,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63204', '63277']","['63278', '63215', '63207']","['63283', '63279', '63218', '63284D', '63213', '63208']","['63280', '63219', '63220', '63216', '63217']",,,['63283'],"['63219', '63216', '63220', '63280', '63217']",,
63190053,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']",,,,,,,,,,
63190054,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']",,,,,,,,,,
63190055,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']",,,,,,,,,,
63190056,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']","['63711', '63714', '63716', '63720', '63715']","['63725', '63727', '63721', '63723', '63726']","['63248', '63712', '63749B', '63768', '63732', '63713']",['63770'],,['63770'],,['63770'],,
63190057,"['63203', '63205', '63202', '63204', '63277']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63216', '63220']","['63254', '63264', '63267', '63266', '63214']","['63250', '63268', '63216', '63281', '63251']","['63264', '63267', '63266', '63254']","['63281', '63268', '63251']",,['63281'],"['63506A', '63565', '63519', '63564', '63520']","['63545B', '63566', '63510', '63567']"
63190058,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']",,,,,,,,,,
63190059,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63283', '63208', '63213', '63218', '63202', '63204']",,"['63249', '63254', '63264', '63255', '63214']",['63216'],,"['63281', '63256']",,,,
63190060,"['63705', '63701', '63702', '63704', '63703']","['63708', '63710', '63707', '63706', '63709']",,,,,,,,,,
63190061,"['63703', '63701', '63705', '63702', '63704']","['63710', '63706', '63708', '63707', '63709']","['63711', '63718', '63720']","['63710', '63723', '63708']","['63720', '63716']","['63744', '63721', '63723', '63727', '63765']","['63248', '63749B', '63712', '63715', '63716', '63741', '63732']",['63770'],['63716'],['63770'],"['63521', '63527']","['63522', '63551', '63515']"
63190062,"['63704', '63702', '63701', '63705', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63718', '63719', '63717', '63720', '63744']","['63723', '63728', '63765', '63729']","['63248', '63742', '63741', '63739', '63732', '63738']",['63770'],,['63770'],,['63770'],,
63190063,"['63703', '63701', '63705', '63702', '63704']","['63710', '63706', '63708', '63707', '63709']","['63711', '63714', '63716', '63720', '63715']","['63725', '63727', '63721', '63723', '63765']","['63768', '63741', '63732', '63712', '63713']",['63770'],,['63770'],,,,
63190064,"['63203', '63204', '63205', '63202', '63277']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']","['63254', '63264', '63226', '63214']","['63263', '63281', '63250', '63265', '63256', '63251']","['63507', '63519', '63506', '63550', '63520']","['63545B', '63557', '63510', '63508', '63560']","['63512', '63541']","['63546H', '63509', '63543']",,
63190065,"['63203', '63277', '63205', '63204', '63202']","['63212', '63209', '63207', '63215', '63278']","['63701', '63705', '63702', '63704', '63703']","['63706', '63708', '63709', '63707', '63710']",,"['63709', '63708']","['63718', '63720', '63711', '63716', '63715']","['63727', '63723', '63721', '63765', '63726']","['63712', '63732', '63714', '63736', '63713']","['63770', '63726']",,['63726']
63190066,"['63203', '63205', '63204', '63277', '63202']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']","['63260', '63226', '63267', '63266', '63214']","['63281', '63268', '63256', '63258', '63251']",,['63281'],,['63281'],,
63190067,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63719', '63716', '63717', '63720']","['63727', '63721', '63723', '63728', '63722']","['63205', '63715', '63739', '63732', '63740', '63735']",['63770'],,['63770'],"['63506', '63507', '63550', '63506A', '63523', '63527']","['63508', '63557', '63515', '63553', '63551']","['63514', '63541', '63554']","['63552', '63555']"
63190068,"['63703', '63701', '63705', '63704', '63702']","['63710', '63706', '63708', '63707', '63709']","['63711', '63714', '63716', '63720', '63715']","['63725', '63727', '63721', '63723', '63765']","['63712', '63732', '63741', '63768', '63713']",['63770'],,['63770'],,,,
63190070,"['63203', '63277', '63205', '63204', '63202']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']","['63254', '63269', '63255', '63270', '63214']","['63281', '63250', '63271', '63287', '63256']",,['63281'],"['63506', '63520', '63506A', '63512', '63519', '63541']","['63509', '63536', '63545B', '63543', '63510']",,
63190071,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']",,"['63212', '63278', '63215', '63216', '63207']","['63283', '63279', '63218', '63213', '63208']","['63217', '63280', '63219', '63220', '63216']","['63269', '63255', '63213', '63214']","['63220', '63252', '63219']","['63254', '63213', '63270']","['63287', '63271', '63256', '63281']",,
63190072,"['63704', '63701', '63705', '63702', '63703']","['63710', '63706', '63708', '63707', '63709']",,,,,,,,,,
63190073,"['63203', '63204', '63205', '63277', '63202']","['63212', '63209', '63207', '63215', '63278']","['63704', '63703']","['63212', '63278', '63215', '63207', '63709', '63707']","['63701', '63705', '63715', '63716', '63720', '63711']","['63744', '63706', '63727', '63723', '63726', '63708', '63765']","['63248', '63712', '63741', '63734', '63717', '63732']",['63770'],,,,
63190074,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63719', '63714', '63720', '63715']","['63725', '63721', '63723', '63765', '63726']","['63712', '63732', '63741', '63768', '63719', '63735']",['63770'],"['63514', '63554', '63519', '63506', '63520']","['63546I', '63545B', '63510', '63552', '63555']",,,,
63190075,"['63701', '63705', '63702', '63704', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63712', '63713', '63714', '63716', '63715']","['63725', '63727', '63723']","['63248', '63749B', '63742', '63732', '63735', '63768']",['63770'],,,,,,
63190076,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63708', '63707', '63709']",,,,,,,,,,
63190077,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63216', '63220']","['63254', '63269', '63266', '63267', '63214']","['63281', '63250', '63268', '63256', '63251']","['63541', '63519', '63506', '63550', '63512', '63520']","['63545B', '63509', '63510', '63543']","['63545C', '63527', '63523']","['63553', '63551', '63555']",,
63190078,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63216', '63220']","['63261', '63214', '63267', '63266']","['63250', '63271', '63268', '63216', '63281', '63251']",,['63281'],"['63506', '63520', '63506A', '63512', '63519', '63541']","['63509', '63561', '63545B', '63543', '63510']","['63514', '63554']","['63552', '63555', '63546H']"
63190079,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63708', '63707', '63709']","['63744', '63715', '63713', '63704']","['63721', '63726', '63709']","['63716', '63719', '63711']","['63723', '63727']","['63749B', '63718', '63712', '63734', '63719', '63732']",['63770'],,['63770'],,
63190080,"['63704', '63701', '63705', '63702', '63703']","['63710', '63706', '63708', '63707', '63709']",,,,,,,,,,
63190081,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']",,"['63707', '63706', '63710']","['63715', '63705']","['63706', '63209', '63727', '63721']","['63249', '63214', '63226']","['63727', '63765', '63252', '63256', '63253']",,,"['63521', '63527']","['63551', '63515']"
63190082,"['63203', '63277', '63205', '63202', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']",,"['63220', '63215']","['63264', '63214', '63261', '63257']","['63281', '63259', '63258', '63256', '63262']",['63264'],"['63259', '63281']",,"['63259', '63281']"
63190083,"['63703', '63701', '63705', '63702', '63704']","['63710', '63706', '63708', '63707', '63709']","['63711', '63719', '63714', '63716', '63720']","['63725', '63727', '63723', '63765', '63278']","['63248', '63712', '63742', '63732', '63719', '63768', '63713']",['63770'],,['63770'],,['63770'],,
63190084,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63708', '63707', '63709']","['63711', '63712', '63713', '63714', '63715']","['63725', '63721', '63723', '63722', '63724']","['63720', '63714', '63713', '63732']","['63722', '63765']","['63768', '63735', '63736']",['63770'],,,,
63190085,"['63203', '63205', '63204', '63277', '63202']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63219', '63216']","['63269', '63255', '63270', '63214']","['63281', '63250', '63271', '63287', '63256', '63253']",,['63281'],,,,
