student_id,19/20_1,19/20_2,20/21_1,20/21_2,21/22_1,21/22_2,22/23_1,22/23_2,23/24_1,23/24_2,24/25_1,24/25_2
63210501,[],[],[],[],"['63521', '63527']","['63551', '63555', '63515']","['63550', '63523']",[],[],[],[],[]
63210502,[],[],[],[],"['63521', '63527']","['63551', '63515']",['63550'],"['63551', '63553']",[],[],[],[]
63210503,[],[],[],[],"['63521', '63527']","['63551', '63515']",['63550'],"['63551', '63553']",[],['63553'],[],[]
63210504,[],[],[],[],"['63521', '63527']","['63551', '63555', '63515']","['63550', '63523']",['63551'],[],[],[],[]
63210505,[],[],[],[],"['63521', '63527']","['63551', '63515']",['63550'],['63553'],[],['63553'],[],[]
63210506,[],[],[],[],"['63521', '63527']","['63551', '63555', '63515']","['63550', '63523']",[],[],[],[],[]
63210508,[],[],[],[],"['63521', '63527']","['63551', '63515']","['63550', '63554']",['63551'],[],[],[],[]
63210509,[],[],[],[],"['63506A', '63519', '63520', '63565', '63564']","['63545B', '63566', '63510', '63567']","['63564', '63519']","['63566', '63567']","['63563', '63550', '63554', '63514']","['63545B', '63552', '63560']",[],[]
63210510,[],[],[],[],"['63506A', '63519', '63520', '63565', '63564']","['63545B', '63566', '63510', '63567']","['63564', '63519', '63506A']","['63566', '63567']","['63564', '63506A']","['63566', '63510', '63567']",[],"['63545B', '63566']"
63210511,[],[],[],[],"['63507', '63550', '63514', '63554']","['63508', '63557', '63552', '63545C', '63555']","['63514', '63506A']","['63557', '63508', '63555']",[],[],[],[]
63210513,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63710', '63706', '63709', '63708', '63707']","['63718', '63720', '63711', '63717', '63719']","['63722', '63723', '63721', '63765', '63729']","['63742', '63741', '63205', '63732', '63717', '63739', '63736']",['63770'],['63717'],[]
63210514,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63710', '63706', '63707', '63709', '63708']",[],[],[],[],[],[]
63210515,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63709', '63706', '63710', '63708', '63707']",[],[],[],[],[],[]
63210516,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63709', '63706', '63708', '63707', '63710']","['63705', '63715']","['63710', '63709']",[],[],[],[]
63210517,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63709', '63706', '63708', '63707', '63710']",[],[],[],[],[],[]
63210518,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63709', '63707', '63706', '63710', '63708']","['63248', '63714', '63716', '63711', '63715']","['63727', '63723', '63726', '63725', '63721']","['63712', '63749B', '63768', '63735', '63732', '63713']",['63770'],[],[]
63210519,[],[],[],[],"['63204', '63277']","['63212', '63278']","['63208', '63279', '63283']","['63280', '63220', '63209']","['63266', '63267', '63214']",['63251'],[],[]
63210520,[],[],[],[],"['63701', '63705', '63704', '63702', '63703']","['63706', '63708', '63709', '63707', '63710']","['63702', '63705', '63704', '63701', '63703']","['63710', '63707', '63706', '63708', '63709']",[],[],[],[]
63210521,[],[],[],[],"['63521', '63527']","['63551', '63555', '63515']",[],[],[],[],[],[]
63210522,[],[],[],[],"['63507', '63550', '63512', '63541', '63506']","['63543', '63508', '63557', '63509', '63515']","['63507', '63506']","['63546H', '63557', '63509']","['63506', '63558', '63554', '63514']","['63546H', '63552', '63555']",[],[]
63210523,[],[],[],[],"['63218', '63213', '63283']",['63280'],[],[],[],[],[],[]
63210524,[],[],[],[],"['63203', '63205', '63204', '63202', '63277']","['63212', '63209', '63207', '63215', '63278']",[],[],[],[],[],[]
63210525,[],[],[],[],"['63749B', '63705', '63711', '63714', '63704']","['63722', '63721', '63723', '63710', '63724']","['63705', '63704', '63711']",['63722'],"['63715', '63720', '63732', '63713']","['63770', '63722']",[],[]
63210526,[],[],[],[],"['63203', '63204', '63205', '63202', '63277']","['63212', '63209', '63207', '63215', '63278']",[],"['63207', '63278']",[],['63278'],[],"['63207', '63278']"
63210527,[],[],[],[],"['63749B', '63715', '63711', '63705', '63714', '63704']","['63706', '63725', '63723', '63710', '63727']",[],[],[],[],[],[]
63210528,[],[],[],[],"['63203', '63205', '63277', '63204', '63202']","['63212', '63278', '63209', '63207', '63215']",[],[],[],[],[],[]
63210529,[],[],[],[],"['63203', '63205', '63277', '63202', '63204']","['63212', '63207', '63278', '63209', '63215']",[],[],[],[],[],[]
63210530,[],[],[],[],"['63716', '63720', '63711', '63705', '63704', '63713']","['63709', '63722', '63723', '63278']","['63716', '63718', '63717', '63732', '63735', '63714', '63736']",['63770'],[],[],[],[]
63210531,[],[],[],[],"['63203', '63205', '63277', '63202', '63204']","['63212', '63207', '63278', '63209', '63215']",[],[],[],[],"['63521', '63527', '63519']","['63551', '63515']"
