subject_id,subject_name,subject_program,subject_semester,student_year,2019,2020,2021,2022,2023
63202,Osnove matematične analize,UNI,1,1,93.1%,87.2%,84.9%,88.2%,89.5%
63203,Diskretne strukture,UNI,1,1,94.2%,89.2%,89.5%,94.4%,96.2%
63204,Osnove digitalnih vezij,UNI,1,1,88.9%,94.0%,94.0%,93.2%,98.8%
63205,Fizika,UNI,1,1,96.5%,91.6%,94.2%,83.9%,87.7%
63207,Linearna algebra,UNI,2,1,81.6%,86.6%,77.9%,81.1%,72.5%
63208,Osnove podatkovnih baz,UNI,1,2,,94.9%,98.2%,87.2%,91.1%
63209,Računalniške komunikacije,UNI,2,1,92.0%,94.6%,88.0%,86.9%,85.8%
63212,Arhitektura računalniških sistemov,UNI,2,1,94.0%,93.3%,92.6%,92.5%,95.8%
63213,Verjetnost in statistika,UNI,1,2,,97.3%,95.4%,71.4%,88.4%
63214,Osnove umetne inteligence,UNI,1,3,,,91.9%,91.7%,89.7%
63215,Osnove informacijskih sistemov,UNI,2,1,91.4%,93.4%,88.0%,95.4%,95.7%
63216,Teorija informacij in sistemov,UNI,2,2,,80.4%,88.1%,74.0%,77.0%
63217,Operacijski sistemi,UNI,2,2,,98.1%,87.7%,89.3%,86.8%
63218,Organizacija računalniških sistemov,UNI,1,2,,94.4%,99.2%,90.4%,92.7%
63219,Matematično modeliranje,UNI,2,3,,,79.1%,83.3%,81.0%
63220,Principi programskih jezikov,UNI,2,3,,,84.6%,84.3%,74.5%
63221,Računalniške tehnologije,UNI,2,3,,,71.4%,76.9%,100.0%
63226,Tehnologija upravljanja podatkov,UNI,1,3,,,94.1%,95.8%,100.0%
63248,Ekonomika in podjetništvo,UNI,2,0,,,100.0%,96.1%,100.0%
63249,Elektronsko poslovanje,UNI,1,3,,,100.0%,100.0%,92.9%
63250,Organizacija in management,UNI,2,3,,,97.4%,98.3%,100.0%
63251,Uvod v odkrivanje znanj iz podatkov,UNI,1,0,,,82.6%,94.3%,94.7%
63252,Razvoj informacijskih sistemov,UNI,1,0,,,100.0%,100.0%,100.0%
63253,Planiranje in upravljanje informatike,UNI,2,3,,,100.0%,93.8%,100.0%
63254,Postopki razvoja programske opreme,UNI,1,3,,,97.4%,98.0%,100.0%
63255,Spletno programiranje,UNI,1,3,,,100.0%,100.0%,96.1%
63256,Tehnologija programske opreme,UNI,2,3,,,98.6%,96.1%,95.5%
63257,Modeliranje računalniških omrežij,UNI,1,3,,,5 students,100.0%,100.0%
63258,Komunikacijski protokoli,UNI,1,0,,,66.7%,91.3%,100.0%
63259,Brezžična in mobilna omrežja,UNI,2,3,,,100.0%,88.0%,91.7%
63260,Digitalno načrtovanje,UNI,1,3,,,83.3%,92.6%,90.0%
63261,Porazdeljeni sistemi,UNI,1,3,,,93.3%,97.7%,93.3%
63262,Zanesljivost in zmogljivost računalniških sistemov,UNI,2,3,,,100.0%,100.0%,100.0%
63263,Analiza algoritmov in hevristično reševanje problemov,UNI,1,0,,,76.5%,92.0%,86.7%
63264,Sistemska programska oprema,UNI,1,3,,,89.5%,85.7%,93.3%
63265,Prevajalniki,UNI,2,3,,,72.0%,82.1%,90.0%
63266,Inteligentni sistemi,UNI,1,3,,,92.4%,93.2%,96.8%
63267,Umetno zaznavanje,UNI,1,3,,,95.6%,97.1%,93.8%
63268,Razvoj inteligentnih sistemov,UNI,2,3,,,83.9%,98.6%,96.7%
63269,Računalniška grafika in tehnologija iger,UNI,1,3,,,91.2%,84.9%,98.0%
63270,Multimedijski sistemi,UNI,1,3,,,95.5%,85.7%,95.1%
63271,Osnove oblikovanja,UNI,2,3,,,93.5%,95.9%,97.8%
63277,Programiranje 1,UNI,1,1,94.4%,89.5%,82.7%,83.3%,83.1%
63278,Programiranje 2,UNI,2,2,,77.5%,60.4%,72.9%,59.1%
63279,Algoritmi in podatkovne strukture 1,UNI,1,2,,91.5%,93.5%,85.8%,88.8%
63280,Algoritmi in podatkovne strukture 2,UNI,2,2,,92.2%,93.2%,85.5%,84.9%
63281,Diplomski seminar,UNI,2,3,,,19.5%,45.5%,49.0%
63283,Izračunljivost in računska zahtevnost,UNI,1,2,,92.7%,82.8%,60.4%,69.4%
63287,Programiranje specifičnih platform,UNI,2,3,,,90.9%,93.5%,96.2%
63701,Uvod v računalništvo,VSS,1,1,97.1%,97.8%,96.2%,93.2%,97.0%
63702,Programiranje 1,VSS,1,1,94.7%,94.1%,93.5%,88.7%,84.3%
63703,Računalniška arhitektura,VSS,1,1,98.2%,93.4%,94.9%,93.8%,100.0%
63704,Matematika,VSS,1,1,79.4%,85.5%,79.3%,78.2%,78.0%
63705,Diskretne strukture,VSS,1,1,87.1%,90.5%,83.0%,83.6%,84.1%
63706,Programiranje 2,VSS,2,1,96.9%,94.6%,89.8%,80.6%,83.5%
