vpisna,predmet,semester
63180001,IOI_P,24/25/1
63180001,NPMP_P,24/25/1
63180001,RSO_P,24/25/1
63180001,RS(63509)_P,24/25/2
63180001,VZR_P,24/25/2
63180001,SMRPO_P,24/25/2
63180001,RIS(63268)_P,20/21/2
63180001,RK_P,19/20/2
63180001,PPJ_P,19/20/2
63180001,APS2(63280)_P,19/20/2
63180001,IRZ_P,19/20/1
63180001,OPB_P,19/20/1
63180001,APS1_P,19/20/1
63180001,P1_P,18/19/1
63180001,ODV_P,18/19/1
63180002,P1_P,18/19/1
63180002,ODV_P,18/19/1
63180003,P1_P,18/19/1
63180003,ODV_P,18/19/1
63180004,PSP_P,20/21/2
63180004,RK_P,19/20/2
63180004,PPJ_P,19/20/2
63180004,APS2(63280)_P,19/20/2
63180004,IRZ_P,19/20/1
63180004,OPB_P,19/20/1
63180004,APS1_P,19/20/1
63180004,P1_P,18/19/1
63180004,ODV_P,18/19/1
63180005,OiM_P,21/22/2
63180005,PI_P,21/22/2
63180005,RK_P,20/21/2
63180005,APS2(63280)_P,20/21/2
63180005,PPJ_P,20/21/2
63180005,P2(63278)_P,19/20/2
63180005,P1_P,18/19/1
63180005,ODV_P,18/19/1
63180006,RK_P,20/21/2
63180006,APS2(63280)_P,20/21/2
63180006,PPJ_P,20/21/2
63180006,P2(63278)_P,19/20/2
63180006,P1_P,18/19/1
63180006,ODV_P,18/19/1
63180007,P1_P,18/19/1
63180007,ODV_P,18/19/1
63180008,OiM_P,20/21/2
63180008,RK_P,19/20/2
63180008,PPJ_P,19/20/2
63180008,APS2(63280)_P,19/20/2
63180008,IRZ_P,19/20/1
63180008,OPB_P,19/20/1
63180008,APS1_P,19/20/1
63180008,P1_P,18/19/1
63180008,ODV_P,18/19/1
63180009,NRG_P,22/23/2
63180009,A_P,22/23/2
63180009,ANA_P,22/23/2
63180009,IEPS_P,22/23/2
63180009,ONJ_P,22/23/2
63180009,P(63265)_P,20/21/2
63180009,RIS(63268)_P,20/21/2
63180009,RK_P,19/20/2
63180009,PPJ_P,19/20/2
63180009,APS2(63280)_P,19/20/2
63180009,IRZ_P,19/20/1
63180009,OPB_P,19/20/1
63180009,APS1_P,19/20/1
63180009,P1_P,18/19/1
63180009,ODV_P,18/19/1
63180010,PI_P,24/25/2
63180010,OO_P,22/23/2
63180010,PI_P,22/23/2
63180010,PPJ_P,21/22/2
63180010,RK_P,20/21/2
63180010,APS2(63280)_P,20/21/2
63180010,PPJ_P,20/21/2
63180010,P1_P,18/19/1
63180010,ODV_P,18/19/1
63180012,IPIRI(63536)_P,22/23/2
63180012,VZR_P,22/23/2
63180012,A_P,21/22/2
63180012,NMRV_P,21/22/2
63180012,PSP_P,20/21/2
63180012,RK_P,19/20/2
63180012,PPJ_P,19/20/2
63180012,APS2(63280)_P,19/20/2
63180012,IRZ_P,19/20/1
63180012,OPB_P,19/20/1
63180012,APS1_P,19/20/1
63180012,P1_P,18/19/1
63180012,ODV_P,18/19/1
63180013,PSP_P,22/23/2
63180013,OO_P,22/23/2
63180013,RK_P,21/22/2
63180013,PPJ_P,21/22/2
63180013,RK_P,20/21/2
63180013,APS2(63280)_P,20/21/2
63180013,PPJ_P,20/21/2
63180013,ARS_P,19/20/2
63180013,P1_P,18/19/1
63180013,ODV_P,18/19/1
63180014,OIS_P,24/25/2
63180014,TIS_P,24/25/2
63180014,OS(63217)_P,24/25/2
63180014,PPJ_P,21/22/2
63180014,RK_P,20/21/2
63180014,APS2(63280)_P,20/21/2
63180014,PPJ_P,20/21/2
63180014,P2(63278)_P,19/20/2
63180014,APS1_P,19/20/1
63180014,P1_P,18/19/1
63180014,ODV_P,18/19/1
63180015,SUzPV_P,22/23/2
63180015,NMRV_P,22/23/2
63180015,_P,22/23/2
63180015,ONJ_P,22/23/2
63180015,OiM_P,20/21/2
63180015,RK_P,19/20/2
63180015,PPJ_P,19/20/2
63180015,APS2(63280)_P,19/20/2
63180015,IRZ_P,19/20/1
63180015,OPB_P,19/20/1
63180015,APS1_P,19/20/1
63180015,P1_P,18/19/1
63180015,ODV_P,18/19/1
63180016,UI(63510)_P,22/23/2
63180016,NMRV_P,22/23/2
63180016,ARPI_P,22/23/2
63180016,ONJ_P,22/23/2
63180016,RK_P,19/20/2
63180016,PPJ_P,19/20/2
63180016,APS2(63280)_P,19/20/2
63180016,IRZ_P,19/20/1
63180016,OPB_P,19/20/1
63180016,APS1_P,19/20/1
63180016,P1_P,18/19/1
63180016,ODV_P,18/19/1
63180017,DS_P,24/25/2
63180017,F_P,20/21/1
63180017,DS_P,22/23/2
63180017,OiM_P,21/22/2
63180017,OO_P,21/22/2
63180017,DS_P,21/22/2
63180017,TPO(63256)_P,21/22/2
63180017,PSP_P,21/22/2
63180017,OIS_P,20/21/2
63180017,LA_P,20/21/2
63180017,TIS_P,20/21/2
63180017,OS(63217)_P,20/21/2
63180017,RK_P,19/20/2
63180017,PPJ_P,19/20/2
63180017,APS2(63280)_P,19/20/2
63180017,IRZ_P,19/20/1
63180017,OPB_P,19/20/1
63180017,APS1_P,19/20/1
63180017,P1_P,18/19/1
63180017,ODV_P,18/19/1
63180018,RK_P,21/22/2
63180018,PPJ_P,21/22/2
63180018,APS2(63280)_P,21/22/2
63180018,RK_P,20/21/2
63180018,APS2(63280)_P,20/21/2
63180018,PPJ_P,20/21/2
63180018,P2(63278)_P,19/20/2
63180018,P1_P,18/19/1
63180018,ODV_P,18/19/1
63180019,OiM_P,20/21/2
63180019,RK_P,19/20/2
63180019,PPJ_P,19/20/2
63180019,APS2(63280)_P,19/20/2
63180019,IRZ_P,19/20/1
63180019,OPB_P,19/20/1
63180019,APS1_P,19/20/1
63180019,P1_P,18/19/1
63180019,ODV_P,18/19/1
63180021,SUzPV_P,22/23/2
63180021,UI(63510)_P,22/23/2
63180021,A_P,22/23/2
63180021,PSP_P,20/21/2
63180021,RK_P,19/20/2
63180021,PPJ_P,19/20/2
63180021,APS2(63280)_P,19/20/2
63180021,IRZ_P,19/20/1
63180021,OPB_P,19/20/1
63180021,APS1_P,19/20/1
63180021,P1_P,18/19/1
63180021,ODV_P,18/19/1
63180022,IPIRI(63536)_P,22/23/2
63180022,_P,21/22/2
63180022,RF_P,21/22/2
63180022,_P,21/22/2
63180022,A_P,21/22/2
63180022,RIS(63268)_P,20/21/2
63180022,RK_P,19/20/2
63180022,PPJ_P,19/20/2
63180022,APS2(63280)_P,19/20/2
63180022,IRZ_P,19/20/1
63180022,OPB_P,19/20/1
63180022,APS1_P,19/20/1
63180022,P1_P,18/19/1
63180022,ODV_P,18/19/1
63180023,OiM_P,20/21/2
63180023,RK_P,19/20/2
63180023,PPJ_P,19/20/2
63180023,APS2(63280)_P,19/20/2
63180023,IRZ_P,19/20/1
63180023,OPB_P,19/20/1
63180023,APS1_P,19/20/1
63180023,P1_P,18/19/1
63180023,ODV_P,18/19/1
63180024,RK_P,19/20/2
