subject_id,subject_name,subject_program,subject_semester,year_count,years_offered,subject_codes
63202,Osnove matematične analize,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-ML, 1_BUN-RI"
63203,Diskretne strukture,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",1_BUN-RI
63204,Osnove digitalnih vezij,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 1_BUN-RM"
63205,Fizika,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",1_BUN-RI
63207,Linearna algebra,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-ML, 1_BUN-RI, 63207_PAD"
63208,Osnove podatkovnih baz,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 2_BUN-RM"
63209,Računalniške komunikacije,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 2_BUN-RM, 2_BUN-UI, 63209_PAD"
63212,Arhitektura računalniških sistemov,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 1_BUN-RM, 2_BUN-UI_ARS(63212), 63212_PAD"
63213,Verjetnost in statistika,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",2_BUN-RI
63214,Osnove umetne inteligence,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BMA-DJ_OUI(63214), 3_BUN-ML, 3_BUN-RI, 3_BUN-RM"
63215,Osnove informacijskih sistemov,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 63215_PAD"
63216,Teorija informacij in sistemov,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 3_BUN-UI_TIS(63216), 63216_PAD"
63217,Operacijski sistemi,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 63217_PAD"
